,original_idx,src_sent1,src_sent2,tgt_original,pred,extracted_entities,gender_label,accuracy,coverage,annotation,model,sentence_count,evaluation,comment,translation_quality,other_entity_accuracy,other_entities
10,114,He has been awarded the Overseas Press Club's Robert Capa Gold Medal five times and two World Press Photo awards.,Nachtwey has worked with Time as a contract photographer since 1984.,Nachtwey ha trabajado para Time como fotógrafo contratado desde 1984.,Ha sido galardonado con la Medalla de Oro Robert Capa del Overseas Press Club cinco veces y dos premios World Press Photo. Nachtwey ha trabajado con Time como fotógrafo por contrato desde 1984.,['Nachtwey'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
11,330,He is portrayed in the live dramas by Tori Matsuzaka.,"Heiji Hattori was inspired by the fictional Inspector Hattori, from Shunsaku Kudo stories.","Heiji Hattori estaba inspirado en el inspector de ficción Hattori, de las historias de Shunsaku Kudo.","Él es retratado en los dramas en vivo por Tori Matsuzaka. Heiji Hattori fue inspirado por el ficticio Inspector Hattori, de las historias de Shunsaku Kudo.",['Hattori'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
12,334,He demonstrated that the emission is mostly concentrated in the microwave spectral range.,"By 1950, Prokhorov was assistant chief of the oscillation laboratory.","En 1950, Prokhorov fue jefe adjunto del laboratorio de oscilaciones.","Demostró que la emisión se concentra principalmente en el rango espectral de microondas. En 1950, Prokhorov fue jefe asistente del laboratorio de oscilación.",['Prokhorov'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
13,347,Beckman shared his expertise in glass-blowing by teaching classes in the machine shop.,Beckman dealt first-hand with the chemists' need for good instrumentation as manager of the chemistry department's instrument shop.,Beckman conoció de primera mano la necesidad de los químicos de contar con una buena instrumentación como director de la tienda de instrumentos del departamento de química.,Beckman compartió su experiencia en el soplado de vidrio enseñando clases en el taller de máquinas. Beckman se ocupó de primera mano de la necesidad de los químicos de una buena instrumentación como gerente del taller de instrumentos del departamento de química.,['Beckman'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
14,364,"Santamaría began representing Spain in 1958, his debut coming on 15 October against Northern Ireland (6–2 friendly win in Madrid).","After working with the youth sides and spending two years with the under-21s, Santamaría was appointed manager of the full team for the 1982 World Cup, due to be played on home soil.","Tras trabajar con los jóvenes y dedicar dos años a los menores de 21 años, Santamaría fue nombrado director del equipo completo para la Copa del Mundo de 1982, que se jugará en casa.","Santamaría comenzó a representar a España en 1958, su debut llegó el 15 de octubre contra Irlanda del Norte (victoria amistosa por 6-2 en Madrid). Después de trabajar con los equipos juveniles y pasar dos años con los menores de 21 años, Santamaría fue nombrado entrenador del equipo completo para la Copa Mundial de 1982, que se jugaría en casa.",['Santamaría'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
15,366,"The Romantic revival, seeing in him a victim of its special bête noire Boileau, and attracted by his splendid diction, rich metrical faculty, and combination of classical and medieval peculiarities, adopted his name as a kind of battle-cry, and for the moment exaggerated his merits somewhat.",Ronsard was the acknowledged chief of the Pléiade and its most voluminous poet.,Ronsard fue el jefe reconocido de la Pléyade y su poeta más prolífico.,"El renacimiento romántico, viendo en él una víctima de su especial bête noire Boileau, y atraído por su espléndida dicción, rica facultad métrica y combinación de peculiaridades clásicas y medievales, adoptó su nombre como una especie de grito de batalla, y por el momento exageró sus méritos un poco. Ronsard fue el jefe reconocido de la Pléiade y su poeta más voluminoso.",['Ronsard'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
16,393,"He also studied conducting under Erich Kleiber, and Karl Muck.","Konoye co-founded the Japan Symphonic Association in 1925, and the following year became conductor of the orchestra.","Konoye co-fundó la Japan Symphonic Association en 1925, y al año siguiente se convirtió en conductor de orquesta.","También estudió dirección con Erich Kleiber y Karl Muck. Konoye cofundó la Asociación Sinfónica de Japón en 1925, y al año siguiente se convirtió en director de la orquesta.",Konoye,m,False,False,y,,,Accurate,,5.0,No_other_entity,
17,442,He also served as first president of the Calgary Medical Society.,Lafferty retired from the practice of medicine in 1909 but served as a hospital inspector from 1909 until 1918 (or possibly later).,Lafferty dejó de practicar medicina en 1909 pero trabajó como inspector hospitalario de 1909 a 1918 (probablemente más tarde).,"También se desempeñó como primer presidente de la Sociedad Médica de Calgary. Lafferty se retiró de la práctica de la medicina en 1909, pero se desempeñó como inspector de hospital desde 1909 hasta 1918 (o posiblemente más tarde).",['Lafferty'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
18,445,"In 1998, he was named principal conductor, and he became music director in 2004.","Solzhenitsyn stepped down as music director in 2010, and became conductor laureate.",Solzhenitsyn se retiró como director musical en 2010 y se convirió en un director de orquesta laureado.,"En 1998, fue nombrado director principal, y se convirtió en director musical en 2004. Solzhenitsyn renunció como director musical en 2010, y se convirtió en director laureado.",['Solzhenitsyn'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
19,653,"However, in his teens Humphries began to rebel against the strictures of conventional suburban life by becoming artistic, much to the dismay of his parents who, despite their affluence, distrusted art.","Humphries responded by becoming a voracious reader, a collector of rare books, a painter, a theatre fan and a surrealist.","Humphries respondió convirtiéndose en un ávido lector, coleccionista de libros raros, pintor, aficionado al teatro y surrealista.","Sin embargo, en su adolescencia, Humphries comenzó a rebelarse contra las restricciones de la vida suburbana convencional al volverse artístico, para consternación de sus padres que, a pesar de su riqueza, desconfiaban del arte. Humphries respondió convirtiéndose en un lector voraz, un coleccionista de libros raros, un pintor, un fanático del teatro y un surrealista.",['Humphries'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
20,698,"To help reduce anxiety and increase patient comfort, men who have an aversion to needles may consider a no-needle application of anesthesia while the 'no-scalpel' or 'open-ended' techniques help to accelerate recovery times and increase the chance of healthy recovery.","After a short recovery at the doctor's office (usually less than an hour), the patient is sent home to rest.","Tras una breve recuperación en la consulta del doctor (normalmente menos de una hora), mandan al paciente a casa a descansar.","Para ayudar a reducir la ansiedad y aumentar la comodidad del paciente, los hombres que tienen aversión a las agujas pueden considerar una aplicación de anestesia sin aguja, mientras que las técnicas ""sin bisturí"" o ""abiertas"" ayudan a acelerar los tiempos de recuperación y aumentar la posibilidad de una recuperación saludable. Después de una breve recuperación en el consultorio del médico (generalmente menos de una hora), el paciente es enviado a casa para descansar.",['patient'],m,False,False,y,,,Accurate,,5.0,No_other_entity,
21,176,"In 1668, plays by women began to be staged in London.","The performance ran for six nights, which was regarded as a good run for an unknown author.","La presentación duró seis noches, lo que fue considerado bueno para una autora desconocida.","En 1668, las obras de teatro de mujeres comenzaron a ser puestas en escena en Londres. La actuación duró seis noches, lo que se consideró una buena carrera para un autor desconocido.",author,f,False,True,y,,,Inaccurate, un autor desconocido -> una autora desconocida ,3.0,No_other_entity,
22,178,"Brava was offered a recording contract by EMI in 1997, and she worked under the EMI Classics label from 1998 to 2002.","The album peaked at number 14 on the UK Classical Chart, and Brava became the biggest selling Finnish classical artist at the time.","El álbum alcanzó el número 14 en el UK Classical Chart, y Brava se convirtió en la artista clásica finlandesa más vendida del momento.","A Brava se le ofreció un contrato de grabación por EMI en 1997, y trabajó bajo el sello EMI Classics de 1998 a 2002. El álbum alcanzó el número 14 en el UK Classical Chart, y Brava se convirtió en el artista clásico finlandés más vendido en ese momento.",['Brava'],f,False,True,y,,,Inaccurate,el artista -> la artista ,4.0,No_other_entity,
23,246,"In February 2008, Vissi signed to Maple Jam Music Group for the management of the release of her upcoming Greek and English albums.","Vissi was the most nominated artist with thirteen music videos, and managed to secure the number one position with Treno, while Agapi Ipervoliki came in at number four when the top 30 were announced.","Vissi fue la artista más nominada, con trece vídeos musicales, y consiguió asegurarse la primera posición con Treno, mientras Agapi Ipervoliki llegó al cuarto puesto cuando se anunciaron los 30 primeros.","En febrero de 2008, Vissi firmó con Maple Jam Music Group para la gestión del lanzamiento de sus próximos álbumes griegos e ingleses. Vissi fue el artista más nominado con trece videos musicales, y logró asegurar la posición número uno con Treno, mientras que Agapi Ipervoliki entró en el número cuatro cuando se anunciaron los 30 primeros.",Vissi,f,False,True,y,,,Inaccurate,el artista más nominado -> la artista más nominada,4.0,Accurate,Agapi Ipervoliki - male
24,251,"Unlike the heroine of the novel, she did not survive, but is commemorated in the church.","According to the preface, the work is a romance and not a historical novel, because the author neither dares, nor desires, to claim for it the dignity or cumber it with the difficulty of an historical novel.","Según el prólogo, la obra es una novela romántica, no histórica, porque la autora no se atreve ni desea reclamar la dignidad ni molestarse con la dificultad de una novela histórica.","A diferencia de la heroína de la novela, ella no sobrevivió, pero es conmemorada en la iglesia. Según el prólogo, la obra es un romance y no una novela histórica, porque el autor no se atreve, ni desea, reclamar para ella la dignidad o agobiarla con la dificultad de una novela histórica.",author,f,False,True,y,,,Inaccurate,el autor -> la autora,4.0,No_other_entity,
25,268,"That same year, she completed a group of new paintings and from 1975 they were exhibited regularly.","A second movie, Captivity, was never completed after the artist threw the rough cut into the town dump.","La segunda película, Captivity, nunca fue completada después de que la artista tirara el primer corte en el basurero de la ciudad.","Ese mismo año, completó un grupo de nuevas pinturas y desde 1975 se exhibieron regularmente. Una segunda película, Captivity, nunca se completó después de que el artista arrojó el corte en bruto al basurero de la ciudad.",['artist'],f,False,True,y,,,Inaccurate,el artista -> la artista,4.0,No_other_entity,
26,298,"The report released on 26 October 2011 explained that Winehouse's blood alcohol content was 416 mg per 100 ml (0.416%) at the time of her death, more than five times the legal drink-drive limit.","Winehouse's record label, Universal Republic, released a statement that read in part: We are deeply saddened at the sudden loss of such a gifted musician, artist and performer.","El sello discográfico de Winehouse, Universal Republic, emitió un comunicado que decía en parte: Estamos profundamente apenados por la repentina muerte de una música, artista e intérprete tan talentosa.","El informe publicado el 26 de octubre de 2011 explicó que el contenido de alcohol en la sangre de Winehouse era de 416 mg por 100 ml (0,416%) en el momento de su muerte, más de cinco veces el límite legal para beber y conducir. El sello discográfico de Winehouse, Universal Republic, emitió una declaración que decía en parte: Estamos profundamente tristes por la pérdida repentina de un músico, artista e intérprete tan talentoso.","musician, artist and performer",f,False,True,y,,,Inaccurate,"un músico -> una músico
 talentoso -> talentosa",3.0,No_other_entity,
27,456,"In November 2009, a Prison Officer from HMYOI Aylesbury was jailed after it emerged that she had become pregnant after having a sexual relationship with an inmate.",The Prison Officer was also convicted of smuggling three mobile phones into HMYOI Aylesbury.,La Oficial de Prisiones también fue condenada por introducir tres teléfonos móviles en HMYOI Aylesbury.,"En noviembre de 2009, un oficial de prisión de HMYOI Aylesbury fue encarcelado después de que se supo que había quedado embarazada después de tener una relación sexual con un recluso. El oficial de prisión también fue condenado por contrabandear tres teléfonos móviles a HMYOI Aylesbury.",['Officer'],f,False,True,y,,,Inaccurate,"un oficial  -> una oficial
encarcelado -> encarcelada
El oficial -> La oficial
condenado -> condenada ",3.0,Accurate,inmate - male
28,463,"Williams put much effort into working with youth choirs to perform her works, including Mary Lou's Mass at St.",It marked the first time a jazz musician had played at the church.,Marcó la primera ocasión en que una música de jazz tocó en la iglesia.,"Williams puso mucho esfuerzo en trabajar con coros juveniles para interpretar sus obras, incluida la Misa de Mary Lou en St. It marcó la primera vez que un músico de jazz había tocado en la iglesia.",musician,f,False,True,y,,,Inaccurate,un músico -> una músico,4.0,No_other_entity,
29,498,"She reported that she briefed no go-around because no takeoffs were authorized on the runway at night or in IMC conditions; however, the first officer knew this was incorrect, but did not challenge the captain.",The captain said the first officer was passive and quiet.,La capitana dijo que el primer oficial era pacífico y callado.,"Ella informó que no informó a nadie porque no se autorizaron despegues en la pista por la noche o en condiciones de IMC; sin embargo, el primer oficial sabía que esto era incorrecto, pero no desafió al capitán. El capitán dijo que el primer oficial era pasivo y tranquilo.",captain,f,False,True,y,,,Inaccurate,al capitán. El capitán -> a la capitana. La capitana ,4.0,Accurate,the first officer - male
30,499,"She subsequently devoted herself to recording Max Reger’s complete works for violin solo, which she presented in 2003.",Eggebrecht has contributed greatly as a chamber musician to the discovery of worthwhile music by neglected composers.,Eggebrecht ha contribuido notablemente como música de cámara para descubrir música valiosa de compositores abandonados.,"Posteriormente se dedicó a grabar las obras completas de Max Reger para violín solo, que presentó en 2003. Eggebrecht ha contribuido en gran medida como músico de cámara al descubrimiento de música valiosa por compositores descuidados.",['Eggebrecht'],f,False,True,y,,,Accurate,,5.0,No_other_entity,
31,500,"She graduated from Beşikdüzü High School of Education at 1978, and moved to Istanbul with her family right after, where she studied architecture in Mimar Sinan Fine Arts University and graduated in 1978.","After graduating from university, Aktas worked as an architect, media consultant and journalist.","Tras graduarse en la universidad, Aktas trabajó como arquitecta, consultora de medios de comunicación y periodista.","Se graduó de Beşikdüzü High School of Education en 1978, y se mudó a Estambul con su familia inmediatamente después, donde estudió arquitectura en la Universidad de Bellas Artes Mimar Sinan y se graduó en 1978. Después de graduarse de la universidad, Aktas trabajó como arquitecto, consultor de medios y periodista.",['Aktas'],f,False,True,y,,,Inaccurate,"arquitecto, consultor -> arquitecta, consultora",4.0,No_other_entity,
32,512,"1] She received 49 votes (0.12%), finishing sixth against Conservative candidate Steven Fletcher.",Sidon was an overhead door mechanic in the Transcona region of Winnipeg at the time of the election.,"Sidon era mecánica de puertas baculantes en la región de Transcona, en Winnipeg, cuando se celebraron las elecciones.","Recibió 49 votos (0,12%), terminando sexto contra el candidato conservador Steven Fletcher. Sidon era un mecánico de puertas aéreas en la región de Transcona de Winnipeg en el momento de la elección.",['Sidon'],f,False,True,y,,,Inaccurate,"sexto - > sexta
un mecánico -> una mecánica ",4.0,Accurate,Steven Fletcher - male
33,514,"The investigation began with one Raymond James manager, who worked from an office in her Wisconsin home, handling approximately 700 accounts and selling mainly mutual funds and variable annuities.",The Wisconsin manager was accused of selling unsuitable aggressive mutual funds and variable annuities over a four-year period.,La gerente de Wisconsin fue acusada de vender fondos mutuales agresivos inapropiados y anualidades variables durante un periodo de cuatro años.,"La investigación comenzó con un gerente de Raymond James, que trabajaba desde una oficina en su casa de Wisconsin, manejando aproximadamente 700 cuentas y vendiendo principalmente fondos mutuos y anualidades variables. El gerente de Wisconsin fue acusado de vender fondos mutuos agresivos inadecuados y anualidades variables durante un período de cuatro años.",['manager'],f,False,True,y,,,Inaccurate,"un gerente - una gerente
El gerente de Wisconsin fue acusado - la gerente de Wisconsin fue acusada",4.0,No_other_entity,
34,525,"To the amusement of many, this year an artist had a painting in the parade showing a naked female bicyclist next to a baton-wielding police officer.",The panel was put on a small platform on wheels and parade goers were invited to have their pictures taken with their heads poking out of the holes of the naked bicyclists and the officer.,El panel se colocó en una pequeña plataforma sobre ruedas y se invitó a los asistentes del desfile a fotografiarse con sus cabezas asomando por los agujeros de las ciclistas desnudas y el oficial.,"Para diversión de muchos, este año un artista pintó en el desfile a una ciclista desnuda junto a un oficial de policía que empuñaba un bastón. El panel se colocó en una pequeña plataforma sobre ruedas y se invitó a los asistentes al desfile a que se tomaran fotos con sus cabezas saliendo de los agujeros de los ciclistas desnudos y del oficial.",bicyclists,f,False,True,y,,,Inaccurate,los ciclistas desnudos  - las ciclistas desnudas,4.0,Accurate,artist - male ; police officer - male
35,551,"After completing one year of training, she was assigned to work on the Mobile Servicing System.",Payette served as chief astronaut for the Canadian Space Agency from 2000 to 2007.,Payette se desempeñó como astronauta jefa de la Agencia Espacial Canadiense de 2000 a 2007.,"Después de completar un año de entrenamiento, fue asignada para trabajar en el Sistema de Servicio Móvil. Payette se desempeñó como astronauta jefe de la Agencia Espacial Canadiense de 2000 a 2007.",['Payette'],f,False,True,y,,,Accurate,,5.0,No_other_entity,
36,317,"Afterward, while looking for a stream from which to obtain water with a friend, he discovers from the commanding officer that his regiment has a lackluster reputation.",The officer speaks casually about sacrificing the 304th because they are nothing more than mule drivers and mud diggers.,"El oficial habla casualmente sobre sacrificar al 304, porque no son nada más que conductores de mulas y excavadores de lodo.","Más tarde, mientras buscaba un arroyo para obtener agua con un amigo, descubre por el oficial al mando que su regimiento tiene una mala reputación. El oficial habla casualmente de sacrificar a la 304a porque no son más que conductores de mulas y excavadores de barro.",officer,m,False,True,y,,,Accurate,,5.0,No_other_entity,
37,319,"The Serb Volunteer Guard (Serbian: Српска добровољачка гарда, СДГ / Srpska dobrovoljačka garda, SDG), also known as Arkan's Tigers (or only Tigers; Serbian: Арканови тигрови / arkanovi tigrovi, or only Тигрови / Tigrovi) or Arkan's men (Serbian: Аркановци / Arkanovci), was a Serbian volunteer paramilitary unit founded and led by Arkan that fought in Croatia (1991–93) and Bosnia (1992–95) during the Yugoslav Wars.","The Guard was under the command of the Territorial Defense, a regular military in charge of the territories of Croatia populated predominantly by Serbs during the first half of the 1990s.","El guardia estaba bajo el mando de la Defensa Territorial, una milicia regular a cargo de los territorios de Croacia predominantemente ocupados por serbios durante la primera década de los 90..","La Guardia Voluntaria Serbia (en serbio: Српска добровољачка гарда, СДГ / Srpska dobrovoljačka garda, SDG), también conocida como los Tigres de Arkan (o sólo Tigres; en serbio: Арканови тигрови / arkanovi tigrovi, o sólo Тигрови / Tigrovi) o los hombres de Arkan (en serbio: Аркановци / Arkanovci), fue una unidad paramilitar voluntaria serbia fundada y dirigida por Arkan que luchó en Croacia (199193) y Bosnia (199295) durante las Guerras yugoslavas. La Guardia estaba bajo el mando de la Defensa Territorial, un ejército regular a cargo de los territorios de Croacia poblados predominantemente por serbios durante la primera mitad de la década de 1990.",['Guard'],m,False,True,y,,,Inaccurate,La Guardia  -  el guardia,4.0,No_other_entity,
38,354,"The men who attained the command of the Guard following year 2 BC were equites with an elevated seniority, classifying right behind the prefect of Egypt.","The Praetorian Guard, like all legionnaires, disposed of various equipment to execute different missions.","El guardia pretoriano, como todos los legionarios, disponía de diferentes equipaciones para realizar diferentes misiones.","Los hombres que alcanzaron el mando de la Guardia después del año 2 aC eran equitas con una antigüedad elevada, clasificándose justo detrás del prefecto de Egipto. La Guardia Pretoriana, como todos los legionarios, disponía de varios equipos para ejecutar diferentes misiones.",Praetorian Guard,m,False,True,y,,,Accurate,,5.0,No_other_entity,
39,488,"In 1999, she defended her PhD dissertation, titled State Regulation of the tax system, at the Kyiv National Economic University and received a Ph.D. in Economics.",Tymoshenko has worked as a practicing economist and academic.,Tymoshenko ha trabajado como nutricionista practicante y académica.,"En 1999, defendió su tesis doctoral, titulada Regulación estatal del sistema tributario, en la Universidad Económica Nacional de Kiev y recibió un doctorado en Economía. Tymoshenko ha trabajado como economista practicante y académica.",['Tymoshenko'],f,True,True,y,,,Accurate,,5.0,No_other_entity,
40,220,"While Dhumavati is generally associated with only inauspicious qualities, her thousand-name hymn relates her positive aspects as well as her negative ones.","Dhumavati is described as a great teacher, one who reveals ultimate knowledge of the universe, which is beyond the illusory divisions, like auspicious and inauspicious.","Dhumavati es descrita como una gran maestra, una que revela el conocimiento del universo, que está más allá de las divisiones ilusorias, como auspicioso e inauspicioso.","Mientras que Dhumavati generalmente se asocia solo con cualidades inauspiciosas, su himno de mil nombres relata sus aspectos positivos, así como sus aspectos negativos. Dhumavati es descrita como una gran maestra, una que revela el conocimiento último del universo, que está más allá de las divisiones ilusorias, como auspiciosas e inauspiciosas.",Dhumavati,f,True,True,y,,,Accurate,,5.0,No_other_entity,
41,209,"On July 18, 2010, the Long Island International Film Expo honored the actress with its Long Island Creative Achievement Award.","The next year, Moriarty appeared as a nurse in the film 1320.","El siguiente año, Moriarty actuó como enfermera en la película 1320.","El 18 de julio de 2010, la Exposición Internacional de Cine de Long Island honró a la actriz con su Premio al Logro Creativo de Long Island. El año siguiente, Moriarty apareció como enfermera en la película 1320.",['Moriarty'],f,True,True,y,,,Accurate,,5.0,No_other_entity,
42,241,"When she took a photography course, she became obsessed once more, and graduated with a photography major.",Sigismondi started a career as a fashion photographer.,Sigismondi empezó una carrera profesional como fotógrafa de moda.,"Cuando tomó un curso de fotografía, se obsesionó una vez más, y se graduó con una especialidad en fotografía. Sigismondi comenzó una carrera como fotógrafa de moda.",['Sigismondi'],f,True,True,y,,,Accurate,,5.0,No_other_entity,
43,166,"Cherryh, set in her Alliance-Union universe, in which humanity has split into three major power blocs: Union, the Merchanter's Alliance and Earth.","Chronologically, the book follows immediately after the author's Downbelow Station and is one of Cherryh's series of Merchanter novels.","Cronológicamente, el libro sigue inmediatamente después de «La estación Downbelow» de la autora, y forma parte de la serie de novelas de mercaderes de Cherryh.","Cherryh, ambientada en su universo Alianza-Unión, en el que la humanidad se ha dividido en tres grandes bloques de poder: la Unión, la Alianza de los Mercaderos y la Tierra. Cronológicamente, el libro sigue inmediatamente después de la Estación de Abajo de la autora y es una de las series de novelas de Mercaderos de Cherryh.",author,f,True,True,y,,,Accurate,,5.0,No_other_entity,
